Table Coordinates: (398.59, 267.05, 399.06998, 267.53004), Width: 0.47998000000001184, Height: 0.48003999999997404
Table Coordinates: (399.07, 267.05, 484.054, 267.53004), Width: 84.98399999999998, Height: 0.48003999999997404
Table Coordinates: (484.06, 267.53, 484.54001, 283.72999999999996), Width: 0.48000999999999294, Height: 16.19999999999999
Table Coordinates: (484.06, 267.05, 484.54001, 267.53004), Width: 0.48000999999999294, Height: 0.48003999999997404
Table Coordinates: (484.06, 267.05, 484.54001, 267.53004), Width: 0.48000999999999294, Height: 0.48003999999997404
Table Coordinates: (538.54, 191.3, 558.0999999999999, 192.644), Width: 19.559999999999945, Height: 1.343999999999994
Table Coordinates: (404.83, 159.14, 449.95, 160.45999999999998), Width: 45.120000000000005, Height: 1.3199999999999932
Table Coordinates: (0.0, -0.099976, 612.1, 792.000024), Width: 612.1, Height: 792.1
Table Coordinates: (97.584, 659.5, 397.274, 660.7), Width: 299.69, Height: 1.2000000000000455
Table Coordinates: (0.0, -0.099976, 612.1, 792.000024), Width: 612.1, Height: 792.1
Table Coordinates: (0.0, -0.099976, 612.1, 792.000024), Width: 612.1, Height: 792.1
Table Coordinates: (106.94, 590.14, 107.42, 590.62), Width: 0.480000000000004, Height: 0.4800000000000182
Table Coordinates: (106.94, 590.14, 107.42, 590.62), Width: 0.480000000000004, Height: 0.4800000000000182
Table Coordinates: (107.42, 590.14, 177.74, 590.62), Width: 70.32000000000001, Height: 0.4800000000000182
Table Coordinates: (177.74, 590.14, 178.22, 590.62), Width: 0.47999999999998977, Height: 0.4800000000000182
Table Coordinates: (177.74, 590.14, 178.22, 590.62), Width: 0.47999999999998977, Height: 0.4800000000000182
Table Coordinates: (248.57, 590.14, 249.04999999999998, 590.62), Width: 0.47999999999998977, Height: 0.4800000000000182
Table Coordinates: (248.57, 590.14, 249.04999999999998, 590.62), Width: 0.47999999999998977, Height: 0.4800000000000182
Table Coordinates: (249.05, 590.14, 319.49, 590.62), Width: 70.44, Height: 0.4800000000000182
Table Coordinates: (319.49, 590.14, 319.97001, 590.62), Width: 0.48000999999999294, Height: 0.4800000000000182
Table Coordinates: (319.49, 590.14, 319.97001, 590.62), Width: 0.48000999999999294, Height: 0.4800000000000182
Table Coordinates: (390.31, 590.14, 390.78998, 590.62), Width: 0.47998000000001184, Height: 0.4800000000000182
Table Coordinates: (390.31, 590.14, 390.78998, 590.62), Width: 0.47998000000001184, Height: 0.4800000000000182
Table Coordinates: (390.79, 590.14, 461.254, 590.62), Width: 70.464, Height: 0.4800000000000182
Table Coordinates: (461.26, 590.14, 461.73998, 590.62), Width: 0.47998000000001184, Height: 0.4800000000000182
Table Coordinates: (461.26, 590.14, 461.73998, 590.62), Width: 0.47998000000001184, Height: 0.4800000000000182
Table Coordinates: (106.94, 568.3, 107.42, 590.14), Width: 0.480000000000004, Height: 21.840000000000032
Table Coordinates: (177.74, 568.3, 178.22, 590.14), Width: 0.47999999999998977, Height: 21.840000000000032
Table Coordinates: (248.57, 568.3, 249.04999999999998, 590.14), Width: 0.47999999999998977, Height: 21.840000000000032
Table Coordinates: (319.49, 568.3, 319.97001, 590.14), Width: 0.48000999999999294, Height: 21.840000000000032
Table Coordinates: (390.31, 568.3, 390.78998, 590.14), Width: 0.47998000000001184, Height: 21.840000000000032
Table Coordinates: (461.26, 568.3, 461.73998, 590.14), Width: 0.47998000000001184, Height: 21.840000000000032
Table Coordinates: (106.94, 567.82, 107.42, 568.30001), Width: 0.480000000000004, Height: 0.48000999999999294
Table Coordinates: (107.42, 567.82, 177.74, 568.30001), Width: 70.32000000000001, Height: 0.48000999999999294
Table Coordinates: (177.74, 567.82, 178.22, 568.30001), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (248.57, 567.82, 249.04999999999998, 568.30001), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (249.05, 567.82, 319.49, 568.30001), Width: 70.44, Height: 0.48000999999999294
Table Coordinates: (319.49, 567.82, 319.97001, 568.30001), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (390.31, 567.82, 390.78998, 568.30001), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (390.79, 567.82, 461.254, 568.30001), Width: 70.464, Height: 0.48000999999999294
Table Coordinates: (461.26, 567.82, 461.73998, 568.30001), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (106.94, 546.1, 107.42, 567.82), Width: 0.480000000000004, Height: 21.720000000000027
Table Coordinates: (177.74, 546.1, 178.22, 567.82), Width: 0.47999999999998977, Height: 21.720000000000027
Table Coordinates: (248.57, 546.1, 249.04999999999998, 567.82), Width: 0.47999999999998977, Height: 21.720000000000027
Table Coordinates: (319.49, 546.1, 319.97001, 567.82), Width: 0.48000999999999294, Height: 21.720000000000027
Table Coordinates: (390.31, 546.1, 390.78998, 567.82), Width: 0.47998000000001184, Height: 21.720000000000027
Table Coordinates: (461.26, 546.1, 461.73998, 567.82), Width: 0.47998000000001184, Height: 21.720000000000027
Table Coordinates: (106.94, 545.62, 107.42, 546.1), Width: 0.480000000000004, Height: 0.4800000000000182
Table Coordinates: (107.42, 545.62, 177.74, 546.1), Width: 70.32000000000001, Height: 0.4800000000000182
Table Coordinates: (177.74, 545.62, 178.22, 546.1), Width: 0.47999999999998977, Height: 0.4800000000000182
Table Coordinates: (248.57, 545.62, 249.04999999999998, 546.1), Width: 0.47999999999998977, Height: 0.4800000000000182
Table Coordinates: (249.05, 545.62, 319.49, 546.1), Width: 70.44, Height: 0.4800000000000182
Table Coordinates: (319.49, 545.62, 319.97001, 546.1), Width: 0.48000999999999294, Height: 0.4800000000000182
Table Coordinates: (390.31, 545.62, 390.78998, 546.1), Width: 0.47998000000001184, Height: 0.4800000000000182
Table Coordinates: (390.79, 545.62, 461.254, 546.1), Width: 70.464, Height: 0.4800000000000182
Table Coordinates: (461.26, 545.62, 461.73998, 546.1), Width: 0.47998000000001184, Height: 0.4800000000000182
Table Coordinates: (106.94, 523.87, 107.42, 545.614), Width: 0.480000000000004, Height: 21.744000000000028
Table Coordinates: (177.74, 523.87, 178.22, 545.614), Width: 0.47999999999998977, Height: 21.744000000000028
Table Coordinates: (248.57, 523.87, 249.04999999999998, 545.614), Width: 0.47999999999998977, Height: 21.744000000000028
Table Coordinates: (319.49, 523.87, 319.97001, 545.614), Width: 0.48000999999999294, Height: 21.744000000000028
Table Coordinates: (390.31, 523.87, 390.78998, 545.614), Width: 0.47998000000001184, Height: 21.744000000000028
Table Coordinates: (461.26, 523.87, 461.73998, 545.614), Width: 0.47998000000001184, Height: 21.744000000000028
Table Coordinates: (106.94, 523.39, 107.42, 523.87001), Width: 0.480000000000004, Height: 0.48000999999999294
Table Coordinates: (107.42, 523.39, 177.74, 523.87001), Width: 70.32000000000001, Height: 0.48000999999999294
Table Coordinates: (177.74, 523.39, 178.22, 523.87001), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (248.57, 523.39, 249.04999999999998, 523.87001), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (249.05, 523.39, 319.49, 523.87001), Width: 70.44, Height: 0.48000999999999294
Table Coordinates: (319.49, 523.39, 319.97001, 523.87001), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (390.31, 523.39, 390.78998, 523.87001), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (390.79, 523.39, 461.254, 523.87001), Width: 70.464, Height: 0.48000999999999294
Table Coordinates: (461.26, 523.39, 461.73998, 523.87001), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (106.94, 501.55, 107.42, 523.39), Width: 0.480000000000004, Height: 21.839999999999975
Table Coordinates: (177.74, 501.55, 178.22, 523.39), Width: 0.47999999999998977, Height: 21.839999999999975
Table Coordinates: (248.57, 501.55, 249.04999999999998, 523.39), Width: 0.47999999999998977, Height: 21.839999999999975
Table Coordinates: (319.49, 501.55, 319.97001, 523.39), Width: 0.48000999999999294, Height: 21.839999999999975
Table Coordinates: (390.31, 501.55, 390.78998, 523.39), Width: 0.47998000000001184, Height: 21.839999999999975
Table Coordinates: (461.26, 501.55, 461.73998, 523.39), Width: 0.47998000000001184, Height: 21.839999999999975
